LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
has quality	RO_0000086	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000086			
IAO_0000119	IAO_0000119	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119			
IAO_0000112	IAO_0000112	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000112			
temporal relation	RO_0002222	ObjectProperty	http://purl.obolibrary.org/obo/RO_0002222			A relation that holds between two occurrents. This is a grouping relation that collects together all the Allen relations.
OBI_0001847	OBI_0001847	AnnotationProperty	http://purl.obolibrary.org/obo/OBI_0001847			
is model for	STATO_0000341	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000341			
has measurement value	IAO_0000004	DatatypeProperty	http://purl.obolibrary.org/obo/IAO_0000004			
objective_achieved_by	OBI_0000833	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000833			
IAO_0000600	IAO_0000600	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000600			
IAO_0000117	IAO_0000117	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000117			
has specified value	OBI_0002135	DatatypeProperty	http://purl.obolibrary.org/obo/OBI_0002135			
BFO_0000180	BFO_0000180	AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000180			
material sample	OBI_0000747	Class	http://purl.obolibrary.org/obo/OBI_0000747			
BFO_0000179	BFO_0000179	AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000179			
quality of	RO_0000080	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000080			
role of	RO_0000081	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000081			
Thing	Thing	Entity	http://www.w3.org/2002/07/owl#Thing			
string	string	Entity	http://www.w3.org/2001/XMLSchema#string			
real	real	Entity	http://www.w3.org/2002/07/owl#real			
has_specified_input	OBI_0000293	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000293			
estimate of	STATO_0000403	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000403			
participates in	RO_0000056	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000056			
realizes	BFO_0000055	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055			Paraphrase of elucidation: a relation between a process and a realizable entity, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
material sample role	OBI_0000740	Class	http://purl.obolibrary.org/obo/OBI_0000740			
scalar measurement datum	IAO_0000032	Class	http://purl.obolibrary.org/obo/IAO_0000032			
declares	STATO_0000001	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000001			
IAO_0000232	IAO_0000232	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000232			
STATO_0000041	STATO_0000041	Entity	http://purl.obolibrary.org/obo/STATO_0000041			
comment	comment	Entity	http://www.w3.org/2000/01/rdf-schema#comment			
pending final vetting	IAO_0000125	Entity	http://purl.obolibrary.org/obo/IAO_0000125			
example to be eventually removed	IAO_0000002	Entity	http://purl.obolibrary.org/obo/IAO_0000002			
has_specified_output	OBI_0000299	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000299			
organizational term	IAO_0000121	Entity	http://purl.obolibrary.org/obo/IAO_0000121			
specimen	OBI_0100051	Class	http://purl.obolibrary.org/obo/OBI_0100051			
IAO_0000116	IAO_0000116	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000116			
IAO_0000115	IAO_0000115	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115			
metadata complete	IAO_0000120	Entity	http://purl.obolibrary.org/obo/IAO_0000120			
has participant	RO_0000057	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000057			
inheres in	RO_0000052	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000052			
has value	STATO_0000129	DatatypeProperty	http://purl.obolibrary.org/obo/STATO_0000129			
is_specified_input_of	OBI_0000295	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000295			
has effect on	STATO_0000344	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000344			
has measurement unit label	IAO_0000039	ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000039			
is modeled by	STATO_0000476	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000476			
IAO_0000118	IAO_0000118	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000118			
information content entity	IAO_0000030	Class	http://purl.obolibrary.org/obo/IAO_0000030			
STATO_0000032	STATO_0000032	Entity	http://purl.obolibrary.org/obo/STATO_0000032			
IAO_0000114	IAO_0000114	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114			
achieves_planned_objective	OBI_0000417	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000417			
part of	BFO_0000050	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050			
is denoted by	STATO_0000205	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000205			
realized in	BFO_0000054	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054			Paraphrase of elucidation: a relation between a realizable entity and a process, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
is_specified_output_of	OBI_0000312	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000312			
is about	IAO_0000136	ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000136			
boolean	boolean	Entity	http://www.w3.org/2001/XMLSchema#boolean			
material entity	BFO_0000040	Class	http://purl.obolibrary.org/obo/BFO_0000040			
label	label	Entity	http://www.w3.org/2000/01/rdf-schema#label			
requires discussion	IAO_0000428	Entity	http://purl.obolibrary.org/obo/IAO_0000428			
is concretized as	RO_0000058	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000058			
has numerator	STATO_0000101	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000101			
metadata incomplete	IAO_0000123	Entity	http://purl.obolibrary.org/obo/IAO_0000123			
source	source	AnnotationProperty	http://purl.org/dc/elements/1.1/source			
concretizes	RO_0000059	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000059			
double	double	Entity	http://www.w3.org/2001/XMLSchema#double			
denotes	IAO_0000219	ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000219			
has part	BFO_0000051	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051			
preceded by	BFO_0000062	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000062			
has denominator	STATO_0000259	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000259			
has specified numeric value	OBI_0001937	DatatypeProperty	http://purl.obolibrary.org/obo/OBI_0001937			
precedes	BFO_0000063	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000063			
IAO_0000412	IAO_0000412	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000412			
value specification	OBI_0001933	Class	http://purl.obolibrary.org/obo/OBI_0001933			
ready for release	IAO_0000122	Entity	http://purl.obolibrary.org/obo/IAO_0000122			
PlainLiteral	PlainLiteral	Entity	http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral			
has member	STATO_0000115	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000115			
IAO_0000602	IAO_0000602	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000602			
is member of	STATO_0000114	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000114			
scalar value specification	OBI_0001931	Class	http://purl.obolibrary.org/obo/OBI_0001931			
