LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
specimen	OBI_0100051	Class	http://purl.obolibrary.org/obo/OBI_0100051			
has participant	RO_0000057	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000057			
achieves_planned_objective	OBI_0000417	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000417			
measurement datum	IAO_0000109	Class	http://purl.obolibrary.org/obo/IAO_0000109			
organizational term	IAO_0000121	Entity	http://purl.obolibrary.org/obo/IAO_0000121			
inheres in	RO_0000052	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000052			
has measurement value	IAO_0000004	DatatypeProperty	http://purl.obolibrary.org/obo/IAO_0000004			
IAO_0000114	IAO_0000114	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114			
to be replaced with external ontology term	IAO_0000423	Entity	http://purl.obolibrary.org/obo/IAO_0000423			
realizes	BFO_0000055	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055			Paraphrase of elucidation: a relation between a process and a realizable entity, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
declares	STATO_0000001	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000001			
is denoted by	STATO_0000205	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000205			
realized in	BFO_0000054	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054			Paraphrase of elucidation: a relation between a realizable entity and a process, where there is some material entity that is bearer of the realizable entity and participates in the process, and the realizable entity comes to be realized in the course of the process
preceded by	BFO_0000062	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000062			
seeAlso	seeAlso	Entity	http://www.w3.org/2000/01/rdf-schema#seeAlso			
has value specification	OBI_0001938	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0001938			
Thing	Thing	Entity	http://www.w3.org/2002/07/owl#Thing			
has part	BFO_0000051	ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051			
IAO_0000412	IAO_0000412	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000412			
bearer of	RO_0000053	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000053			
has effect on	STATO_0000344	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000344			
IAO_0000116	IAO_0000116	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000116			
BFO_0000179	BFO_0000179	AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000179			
has value	STATO_0000129	DatatypeProperty	http://purl.obolibrary.org/obo/STATO_0000129			
metadata complete	IAO_0000120	Entity	http://purl.obolibrary.org/obo/IAO_0000120			
estimate of	STATO_0000403	ObjectProperty	http://purl.obolibrary.org/obo/STATO_0000403			
IAO_0000118	IAO_0000118	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000118			
real	real	Entity	http://www.w3.org/2002/07/owl#real			
STATO_0000041	STATO_0000041	Entity	http://purl.obolibrary.org/obo/STATO_0000041			
example to be eventually removed	IAO_0000002	Entity	http://purl.obolibrary.org/obo/IAO_0000002			
RO_0001900	RO_0001900	AnnotationProperty	http://purl.obolibrary.org/obo/RO_0001900			
objective_achieved_by	OBI_0000833	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000833			
participates in	RO_0000056	ObjectProperty	http://purl.obolibrary.org/obo/RO_0000056			
is_specified_output_of	OBI_0000312	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000312			
material sample role	OBI_0000740	Class	http://purl.obolibrary.org/obo/OBI_0000740			
is about	IAO_0000136	ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000136			
integer	integer	Entity	http://www.w3.org/2001/XMLSchema#integer			
value specification	OBI_0001933	Class	http://purl.obolibrary.org/obo/OBI_0001933			
IAO_0000232	IAO_0000232	AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000232			
has specified numeric value	OBI_0001937	DatatypeProperty	http://purl.obolibrary.org/obo/OBI_0001937			
ready for release	IAO_0000122	Entity	http://purl.obolibrary.org/obo/IAO_0000122			
string	string	Entity	http://www.w3.org/2001/XMLSchema#string			
requires discussion	IAO_0000428	Entity	http://purl.obolibrary.org/obo/IAO_0000428			
is_supported_by_data	OBI_0000124	ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000124			
