LABEL	LOCAL	TYPE	IRI	ALT_LABELS	SYNONYMS	COMMENT
corresponds to Template	correspondsToTemplate	ObjectProperty	http://www.opmw.org/ontology/correspondsToTemplate			"Property that binds an execution account to the template of the whole workflow. The template contains the plan for the workflow.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmo: <http://openprovenance.org/model/opmo#> .

<http://www.opmw.org/export/resource/WorkflowExecutionProcess/acc1>
     a opmo:Account, opmw:workflowExecutionAccount;
     opmw:correspondsToTemplate <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_EDM>."
is Variable of Template	isVariableOfTemplate	ObjectProperty	http://www.opmw.org/ontology/isVariableOfTemplate			"Property used to dessignate which workflow Data Variables belong to a workflow template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/page/resource/DataVariable/AQUAFLOW_EDM_HOURLYDATA>
     a opmw:DataVariable;
     opmw:isVariableOfTemplate <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_EDM>."
comment	comment	Entity	http://www.w3.org/2000/01/rdf-schema#comment			
is Parameter of Template	isParameterOfTemplate	ObjectProperty	http://www.opmw.org/ontology/isParameterOfTemplate			"Property used to dessignate which workflow Parameter Variables belong to a workflow template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/ParameterVariable/AQUAFLOW_EDM_DATE>
     a opmw:ParameterVariable;
     opmw:isParameterOfTemplate <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_EDM>."
Workflow Template Process	WorkflowTemplateProcess	Class	http://www.opmw.org/ontology/WorkflowTemplateProcess			"A workflow process template is an abstraction of the workflow execution process step that aims to describe the method followed by the scientist instead of its specific instantiation.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix water: <http://www.isi.edu/ac/Water/library.owl#> .

<http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_NTM_CALCULATEHOURLYAVERAGES>
      a opmw:ProcessTemplate, water:CalculateHourlyAverages;
      opmw:template <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_NTM>;
      opmw:uses <http://www.opmw.org/export/resource/DataVariable/AQUAFLOW_NTM_FILTEREDDATA>.
      "
corresponds to Template Artifact	correspondsToTemplateArtifact	ObjectProperty	http://www.opmw.org/ontology/correspondsToTemplateArtifact			"Property that binds a workflow execution artifact to its correspondant workflow template artifact.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .

<http://www.opmw.org/export/resource/WorkflowExecutionArtifact/DEPTH1.2150836> 
       a opmv:Artifact, opmw:WorkflowExecutionArtifact;
       opmw:correspondsToTemplateArtifact <http://www.opmw.org/export/resource/ParameterVariable/AQUAFLOW_EDM_DEPTH>."
corresponds to Template Process	correspondsToTemplateProcess	ObjectProperty	http://www.opmw.org/ontology/correspondsToTemplateProcess			"Property that binds a workflow execution process  to its correspondant process template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .
@prefix opmv: <http://purl.org/net/opmv/ns#> .

<http://www.opmw.org/export/resource/WorkflowExecutionProcess/REAERATIONEDM133549210450086>
     a opmv:Process, opmw:WorkflowExecutionProcess;
     opmw:correspondsToTemplateProcess <http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_REAERATIONEDM>. "
Workflow Template Artifact	WorkflowTemplateArtifact	Class	http://www.opmw.org/ontology/WorkflowTemplateArtifact			"A workflow template artifact is part of a workflow template. It explains what kind of artifact is used or generated by the process template, along with possible restrictions that it may have.

There are two different types of workflow template artifacts: data variables and parameter variables."
is Step of Template	isStepOfTemplate	ObjectProperty	http://www.opmw.org/ontology/isStepOfTemplate			"Property used to dessignate which workflow Steps (or Workflow Template Processes) belong to a workflow template.

Example:
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/WorkflowTemplateProcess/AQUAFLOW_EDM_CALCULATEHOURLYAVERAGES>
     a opmw:WorkflowTemplateProcess;
     opmw:isStepOfTemplate <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_EDM>."
Parameter Variable	ParameterVariable	Class	http://www.opmw.org/ontology/ParameterVariable			"An parameter variable represents a description of an input parameter of a process. Parameter variables can only be used by process.

Example:
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix opmw: <http://www.opmw.org/ontology/> .

<http://www.opmw.org/export/resource/ParameterVariable/AQUAFLOW_NTM_LATITUDE>
      a      opmw:/WorkflowTemplateArtifact , opmw:ParameterVariable ;
      rdfs:label ""Parameter variable Latitude"" ;
      opmw:template              <http://www.opmw.org/export/resource/WorkflowTemplate/AQUAFLOW_NTM> ."
label	label	Entity	http://www.w3.org/2000/01/rdf-schema#label			
