IRI,Similarity
http://purl.obolibrary.org/obo/BFO_0000015,0.5655
http://w3id.org/nfdi4ing/metadata4ing#isEmployedToolIn,0.5632
http://purl.obolibrary.org/obo/RO_0002352,0.5569
http://w3id.org/nfdi4ing/metadata4ing#UsageInstruction,0.5523
http://w3id.org/nfdi4ing/metadata4ing#realizesMethod,0.5311
http://purl.obolibrary.org/obo/RO_0002233,0.5009
http://w3id.org/nfdi4ing/metadata4ing#hasEmployedTool,0.4897
http://purl.obolibrary.org/obo/RO_0002353,0.4730
http://purl.obolibrary.org/obo/RO_0002234,0.4543
http://www.w3.org/ns/prov#qualifiedAssociation,0.4417
http://purl.obolibrary.org/obo/BFO_0000063,0.4406
http://purl.obolibrary.org/obo/RO_0000057,0.4199
http://www.molmod.info/semantics/pims-ii.ttl#Property,0.4105
